Timestamp,Ticker,Sentiment,Score
2026-05-09 07:00:31.903327,AAPL,0.0,
2026-05-09 07:00:39.734265,TSLA,0.0,
2026-05-09 07:00:44.558102,GOOGL,0.0,
2026-05-09 07:00:50.749024,AMZN,0.0,
2026-05-09 07:00:57.080412,MSFT,0.0,
2026-05-09 07:14:17.494450,AAPL,0.16884,
2026-05-09 07:14:21.897689,TSLA,0.1620599999999999,
2026-05-09 07:14:26.448019,GOOGL,0.0335999999999999,
2026-05-09 07:14:31.143487,AMZN,0.15902,
2026-05-09 07:14:35.615953,MSFT,0.14224,
2026-05-09 07:15:08.597629,AAPL,0.16884,
2026-05-09 07:15:12.762584,TSLA,0.1620599999999999,
2026-05-09 07:15:17.043408,GOOGL,0.0335999999999999,
2026-05-09 07:15:26.521312,AMZN,0.15902,
2026-05-09 07:15:30.343978,MSFT,0.14224,
2026-05-09 07:16:24.550308,AAPL,0.16884,
2026-05-09 07:16:28.877669,TSLA,0.2954,
2026-05-09 07:16:31.355520,GOOGL,0.0335999999999999,
2026-05-09 07:16:35.596671,AMZN,0.15902,
2026-05-09 07:16:39.596219,MSFT,0.14224,
2026-05-09 07:26:03.842475,AAPL,,0.169
2026-05-09 07:26:03.842481,TSLA,,0.295
2026-05-09 07:26:03.842482,GOOGL,,0.034
2026-05-09 07:26:03.842483,AMZN,,0.159
2026-05-09 07:26:03.842484,MSFT,,0.142
2026-05-09 07:27:06.898752,AAPL,,0.169
2026-05-09 07:27:06.898756,TSLA,,0.295
2026-05-09 07:27:06.898757,GOOGL,,0.034
2026-05-09 07:27:06.898758,AMZN,,0.159
2026-05-09 07:27:06.898759,MSFT,,0.142
2026-05-09 07:33:38.137868,AAPL,,0.169
2026-05-09 07:33:38.137875,TSLA,,0.295
2026-05-09 07:33:38.137877,GOOGL,,0.19
2026-05-09 07:33:38.137878,AMZN,,0.159
2026-05-09 07:33:38.137879,MSFT,,0.167
2026-05-09 07:46:12.902763,AAPL,,0.303
2026-05-09 07:46:12.902771,TSLA,,0.295
2026-05-09 07:46:12.902773,GOOGL,,0.034
2026-05-09 07:46:12.902774,AMZN,,0.159
2026-05-09 07:46:12.902775,MSFT,,0.168
2026-05-09 07:46:34.076985,AAPL,,0.303
2026-05-09 07:46:34.076991,TSLA,,0.295
2026-05-09 07:46:34.076991,GOOGL,,0.034
2026-05-09 07:46:34.076992,AMZN,,0.159
2026-05-09 07:46:34.076993,MSFT,,0.168
2026-05-09 07:51:53.175923,AAPL,,0.303
2026-05-09 07:51:53.175931,TSLA,,0.295
2026-05-09 07:51:53.175934,GOOGL,,0.034
2026-05-09 07:51:53.175935,AMZN,,0.159
2026-05-09 07:51:53.175937,MSFT,,0.168
2026-05-09 08:03:12.886896,AAPL,,0.303
2026-05-09 08:03:12.886907,TSLA,,0.295
2026-05-09 08:03:12.886910,GOOGL,,0.034
2026-05-09 08:03:12.886911,AMZN,,0.159
2026-05-09 08:03:12.886912,MSFT,,0.168
2026-05-09 08:12:39.581471,AAPL,,0.303
2026-05-09 08:12:40.618695,TSLA,,0.295
2026-05-09 08:12:41.826244,GOOGL,,0.034
2026-05-09 08:12:42.999493,AMZN,,0.159
2026-05-09 08:12:44.102175,MSFT,,0.168
2026-05-09 08:14:37.079362,AAPL,,0.303
2026-05-09 08:14:37.895718,TSLA,,0.295
2026-05-09 08:14:38.858801,GOOGL,,0.034
2026-05-09 08:14:39.803374,AMZN,,0.159
2026-05-09 08:14:40.622434,MSFT,,0.168
2026-05-09 08:15:03.162274,AAPL,,0.303
2026-05-09 08:15:03.162693,TSLA,,0.295
2026-05-09 08:15:03.163126,GOOGL,,0.034
2026-05-09 08:15:03.163672,AMZN,,0.159
2026-05-09 08:15:03.164270,MSFT,,0.168
